total_num_hired,total_num_left,total_num_promoted,org_saturation_day,vp_team_size_skew,director_team_size_skew,manager_team_size_skew,mean_days_between_hires,mean_days_between_promotions,mean_days_between_leavings,seed,weight_employed,weight_promoted,weight_change,weight_left,min_employees_for_leaving,min_events_per_week,max_events_per_day,max_events_per_type
170,72,120,208,1.5,0.0,3.267,2.12,2.81,4.86,0,3,2,1,1,10,1,6,2
171,72,120,176,3.0,1.889,1.6,2.13,2.92,4.99,1,3,2,1,1,10,1,6,2
174,75,103,172,1.667,2.0,1.167,2.09,3.43,4.74,2,3,2,1,1,10,1,6,2
152,52,96,179,1.111,3.6,1.356,2.41,3.47,6.84,3,3,2,1,1,10,1,6,2
171,71,131,146,3.333,3.1,2.8,2.13,2.68,5.0,4,3,2,1,1,10,1,6,2
167,67,105,170,1.667,1.467,1.8,2.16,3.25,5.2,5,3,2,1,1,10,1,6,2
169,69,104,185,1.667,6.4,1.433,2.17,3.14,4.94,6,3,2,1,1,10,1,6,2
165,65,95,181,1.111,3.6,1.233,2.17,3.61,4.78,7,3,2,1,1,10,1,6,2
169,69,114,186,3.333,4.1,1.3,2.14,3.06,5.22,8,3,2,1,1,10,1,6,2
150,50,112,237,1.667,2.4,1.467,2.42,2.93,7.06,9,3,2,1,1,10,1,6,2
159,59,107,184,1.667,4.4,1.5,2.3,3.26,6.03,10,3,2,1,1,10,1,6,2
168,69,97,146,1.111,1.7,1.0,2.17,3.69,5.22,11,3,2,1,1,10,1,6,2
165,66,101,171,1.111,4.2,1.9,2.21,3.51,5.34,12,3,2,1,1,10,1,6,2
165,65,97,174,3.333,1.7,2.0,2.19,3.64,5.36,13,3,2,1,1,10,1,6,2
161,61,108,171,3.333,1.4,3.467,2.25,3.22,5.82,14,3,2,1,1,10,1,6,2
173,73,102,151,1.111,3.6,1.467,2.1,3.42,4.76,15,3,2,1,1,10,1,6,2
181,81,132,208,3.333,2.9,1.333,2.02,2.61,4.35,16,3,2,1,1,10,1,6,2
150,50,111,166,1.111,1.15,2.0,2.42,3.16,7.12,17,3,2,1,1,10,1,6,2
166,66,94,180,3.333,1.2,1.714,2.18,3.59,5.17,18,3,2,1,1,10,1,6,2
165,65,110,153,3.333,1.35,1.467,2.21,3.06,5.47,19,3,2,1,1,10,1,6,2
166,67,114,161,0.0,1.467,1.7,2.21,2.97,5.36,0,3,2,1,1,10,1,6,3
171,71,96,166,1.667,1.6,1.733,2.14,3.45,5.07,1,3,2,1,1,10,1,6,3
171,71,115,182,1.667,2.333,1.467,2.14,2.98,4.83,2,3,2,1,1,10,1,6,3
179,80,134,195,0.833,0.0,1.077,1.99,2.56,4.49,3,3,2,1,1,10,1,6,3
167,67,106,178,1.111,0.0,1.5,2.16,3.25,5.27,4,3,2,1,1,10,1,6,3
160,60,108,170,1.667,1.867,1.233,2.25,3.19,5.8,5,3,2,1,1,10,1,6,3
183,84,150,257,1.667,1.05,2.5,1.99,2.34,4.31,6,3,2,1,1,10,1,6,3
169,71,121,180,3.333,3.8,1.533,2.15,2.85,4.99,7,3,2,1,1,10,1,6,3
164,65,116,169,1.111,1.933,1.667,2.22,2.98,5.52,8,3,2,1,1,10,1,6,3
180,80,100,166,1.111,2.667,0.967,2.02,3.48,4.41,9,3,2,1,1,10,1,6,3
153,53,98,180,1.111,2.6,1.467,2.34,3.53,6.44,10,3,2,1,1,10,1,6,3
175,76,126,231,0.833,3.7,1.367,2.06,2.8,4.79,11,3,2,1,1,10,1,6,3
164,64,104,181,3.333,2.2,1.867,2.23,3.26,5.57,12,3,2,1,1,10,1,6,3
172,72,125,180,3.333,1.267,2.667,2.12,2.56,4.89,13,3,2,1,1,10,1,6,3
161,61,90,186,1.111,1.8,1.733,2.23,3.84,5.8,14,3,2,1,1,10,1,6,3
160,60,114,199,1.111,2.0,1.356,2.25,2.95,5.69,15,3,2,1,1,10,1,6,3
175,75,129,211,3.333,1.167,1.1,2.07,2.7,4.64,16,3,2,1,1,10,1,6,3
167,68,100,155,3.333,4.2,1.714,2.19,3.47,5.19,17,3,2,1,1,10,1,6,3
155,55,112,195,3.333,2.067,1.233,2.35,3.07,6.54,18,3,2,1,1,10,1,6,3
159,60,113,158,0.0,1.7,2.381,2.29,3.07,5.85,19,3,2,1,1,10,1,6,3
165,65,114,223,1.667,4.0,1.8,2.16,2.74,5.28,0,3,2,1,1,10,1,7,2
166,66,100,162,1.667,2.4,1.567,2.21,3.47,5.34,1,3,2,1,1,10,1,7,2
165,65,90,177,1.111,1.24,2.333,2.18,3.84,5.42,2,3,2,1,1,10,1,7,2
171,71,121,188,1.667,1.1,0.733,2.13,2.9,4.94,3,3,2,1,1,10,1,7,2
167,68,104,195,1.667,2.0,1.467,2.14,3.36,5.25,4,3,2,1,1,10,1,7,2
154,55,97,203,1.667,2.4,1.5,2.35,3.31,6.33,5,3,2,1,1,10,1,7,2
